"","","","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Mali"," 2008"," 25+ years","3.5 [1.4-7.3]","2.8 [0.9-7.0]","3.9 [1.1-10.3]","3.2 [1.3-6.6]","2.7 [0.8-6.4]","3.6 [1.0-9.3]"
"Malta"," 2008"," 25+ years","19.2 [9.7-31.8]","19.2 [7.2-37.6]","18.9 [6.5-37.2]","21.0 [10.4-35.0]","19.9 [7.4-39.3]","22.1 [7.1-43.5]"
"Marshall Islands"," 2008"," 25+ years","12.4 [6.3-21.4]","9.9 [4.1-19.7]","14.7 [5.3-30.3]","11.4 [5.9-19.4]","9.7 [4.0-19.1]","12.9 [4.8-26.5]"
"Mauritania"," 2008"," 25+ years","3.9 [2.2-6.4]","3.4 [1.6-6.4]","4.3 [1.8-8.6]","3.7 [2.1-6.0]","3.3 [1.6-6.2]","4.1 [1.8-7.9]"
"Mauritius"," 2008"," 25+ years","12.9 [5.7-24.2]","12.5 [3.7-29.3]","13.0 [3.8-29.9]","12.7 [5.6-23.9]","12.5 [3.7-29.2]","12.9 [3.8-29.9]"
"Mexico"," 2008"," 25+ years","13.9 [8.8-20.8]","11.3 [6.2-18.5]","16.2 [8.0-27.7]","13.2 [8.4-19.7]","11.0 [6.1-18.1]","15.1 [7.6-25.8]"
"Micronesia (Federated States of)"," 2008"," 25+ years","13.1 [6.8-21.8]","12.4 [5.3-23.8]","13.7 [5.0-28.0]","12.1 [6.3-19.9]","11.7 [5.0-22.4]","12.5 [4.7-25.4]"
"Monaco"," 2008"," 25+ years","...","...","...","...","...","..."
"Mongolia"," 2008"," 25+ years","7.9 [4.5-13.0]","7.5 [3.7-13.1]","8.3 [3.4-16.5]","7.5 [4.4-11.8]","7.2 [3.7-12.5]","7.7 [3.4-14.9]"
"Montenegro"," 2008"," 25+ years","13.4 [5.9-24.7]","12.6 [4.0-28.0]","13.9 [4.0-30.3]","14.5 [6.2-27.2]","13.0 [4.1-28.8]","15.8 [4.3-34.8]"
